Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
855000,17.39,463,10
856000,17.18,414,12
857000,17.23,405,12
858000,17.47,436,11
859000,17.57,466,8
860000,17.31,425,8
861000,17.38,452,6
862000,17.63,427,6
863000,17.4,445,7
864000,17.35,422,9
865000,17.42,434,9
866000,17.44,487,9
867000,17.36,458,9
868000,17.48,438,11
869000,17.49,420,6
870000,17.52,434,8
871000,17.51,396,7
872000,17.58,455,9
873000,17.5,438,11
874000,17.78,452,7
875000,17.62,411,10
876000,17.71,487,7
877000,17.77,443,10
878000,17.55,405,7
879000,17.7,452,8
880000,17.94,424,9
881000,17.7,436,7
882000,17.75,453,3
883000,17.9,450,5
884000,17.79,439,10
885000,17.97,480,10
886000,17.94,438,8
887000,17.9,435,12
888000,17.99,451,5
889000,17.91,455,6
890000,17.96,469,6
891000,17.75,446,9
892000,17.97,417,10
893000,18.11,440,8
894000,17.94,420,10
895000,17.93,453,5
896000,18.09,449,8
897000,18.19,405,11
898000,18.21,435,7
899000,18.23,463,10
900000,18.12,467,8
901000,18,464,7
902000,18.27,468,10
903000,18.29,460,7
904000,18.24,459,8
905000,18.32,463,7
906000,18.35,500,4
907000,18.35,454,11
908000,18.46,480,7
909000,18.33,441,11
910000,18.3,460,6
911000,18.36,444,10
912000,18.3,464,7
913000,18.44,499,8
914000,18.48,497,12
915000,18.52,468,6
916000,18.54,435,10
917000,18.55,494,4
918000,18.5,493,6
919000,18.44,439,5
920000,18.47,444,7
921000,18.55,481,5
922000,18.62,464,14
923000,18.89,464,11
924000,18.72,474,9
925000,18.56,495,8
926000,18.7,453,7
927000,18.55,460,7
928000,18.8,478,8
929000,18.75,511,8
930000,18.93,448,5
931000,18.91,471,8
932000,18.9,490,5
933000,18.86,491,5
934000,18.73,472,9
935000,18.85,463,2
936000,18.94,466,8
937000,18.91,486,6
938000,18.67,479,5
939000,18.91,459,12
940000,18.95,474,9
941000,19.04,474,6
942000,18.89,463,9
943000,18.92,487,6
944000,19.06,490,4
945000,19.02,472,11
946000,19.13,483,11
947000,19.01,487,10
948000,19,517,9
949000,19.21,470,8
950000,19.05,480,4
951000,19.13,515,7
952000,19.27,477,8
953000,19.34,497,7
954000,19.26,481,6
955000,19.24,474,9
956000,19.14,444,5
957000,19.33,504,6
958000,19.19,473,3
959000,19.56,472,9
960000,19.35,479,5
961000,19.47,469,3
962000,19.37,508,2
963000,19.48,480,5
964000,19.44,497,7
965000,19.46,439,9
966000,19.45,484,8
967000,19.38,493,9
968000,19.6,494,6
969000,19.51,509,7
970000,19.42,506,8
971000,19.62,516,8
972000,19.67,502,8
973000,19.75,499,10
974000,19.85,465,11
975000,19.86,494,6
976000,19.62,499,8
977000,19.78,490,11
978000,19.91,488,10
979000,19.96,484,7
980000,19.85,488,7
981000,19.83,508,5
982000,19.79,519,8
983000,19.83,463,9
984000,19.88,503,5
985000,19.81,496,14
986000,19.87,493,7
987000,19.95,468,7
988000,19.96,449,8
989000,20.13,499,5
990000,19.88,492,12
991000,20.21,488,12
992000,20.01,518,3
993000,19.97,478,4
994000,20.19,491,9
995000,20,484,7
996000,20.16,511,10
997000,20.11,490,7
998000,20.18,484,9
999000,20.13,483,10
1000000,20.11,504,5
1001000,20.09,486,6
1002000,20.26,486,8
1003000,20.36,515,8
1004000,20.3,481,9
1005000,20.11,484,9
1006000,20.37,505,6
1007000,20.43,494,8
1008000,20.19,515,8
1009000,20.62,506,4
1010000,20.35,511,9
1011000,20.46,489,6
1012000,20.53,529,4
1013000,20.43,501,14
1014000,20.39,492,9
1015000,20.47,510,9
1016000,20.58,527,10
1017000,20.64,494,5
1018000,20.59,512,9
1019000,20.51,520,5
1020000,20.53,514,6
1021000,20.59,480,7
1022000,20.52,499,12
1023000,20.55,531,5
1024000,20.8,500,2
1025000,20.67,494,7
1026000,20.77,516,5
1027000,20.87,482,5
1028000,20.66,522,6
1029000,20.69,509,9
1030000,20.71,487,10
1031000,20.68,491,12
1032000,20.9,501,3
1033000,20.98,504,6
1034000,20.76,500,2
1035000,20.87,564,10
