Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
1215000,84,838,11
1216000,84,846,13
1217000,85,843,11
1218000,85,862,7
1219000,85,829,11
1220000,85,857,11
1221000,85,858,11
1222000,85,797,8
1223000,85,886,15
1224000,85,864,15
1225000,85,837,12
1226000,85,883,12
1227000,85,871,11
1228000,85,882,14
1229000,85,890,11
1230000,85,869,13
1231000,85,862,12
1232000,86,900,15
1233000,86,807,5
1234000,86,819,11
1235000,86,840,12
1236000,86,824,9
1237000,86,880,10
1238000,86,862,12
1239000,86,834,7
1240000,86,865,19
1241000,86,888,20
1242000,86,839,9
1243000,86,848,7
1244000,86,868,14
1245000,86,903,9
1246000,87,890,9
1247000,87,871,8
1248000,87,882,10
1249000,87,885,12
1250000,87,885,5
1251000,87,882,15
1252000,87,865,9
1253000,87,879,8
1254000,87,822,6
1255000,87,876,10
1256000,87,853,8
1257000,87,900,7
1258000,87,883,13
1259000,87,849,16
1260000,87,891,7
1261000,88,837,11
1262000,88,937,13
1263000,88,886,15
1264000,88,882,15
1265000,88,898,11
1266000,88,910,8
1267000,88,846,13
1268000,88,837,9
1269000,88,892,14
1270000,88,889,11
1271000,88,883,7
1272000,88,935,10
1273000,88,923,13
1274000,88,882,10
1275000,89,950,11
1276000,89,897,13
1277000,89,896,10
1278000,89,852,19
1279000,89,884,9
1280000,89,905,8
1281000,89,898,13
1282000,89,891,13
1283000,89,857,9
1284000,89,896,12
1285000,89,907,4
1286000,89,917,7
1287000,89,862,10
1288000,89,864,9
1289000,90,931,10
1290000,90,858,7
1291000,90,886,10
1292000,90,917,7
1293000,90,903,11
1294000,90,903,8
1295000,90,961,9
1296000,90,941,14
1297000,90,896,11
1298000,90,900,14
1299000,90,901,7
1300000,90,903,11
1301000,90,858,11
1302000,90,899,10
1303000,90,887,11
1304000,91,956,18
1305000,91,945,11
1306000,91,934,12
1307000,91,901,7
1308000,91,916,13
1309000,91,894,18
1310000,91,907,11
1311000,91,897,9
1312000,91,914,11
1313000,91,873,17
1314000,91,907,12
1315000,91,893,15
1316000,91,906,7
1317000,91,920,6
1318000,92,946,12
1319000,92,958,16
1320000,92,936,12
1321000,92,894,12
1322000,92,890,12
1323000,92,880,18
1324000,92,958,9
1325000,92,925,8
1326000,92,911,10
1327000,92,933,11
1328000,92,912,9
1329000,92,885,13
1330000,92,912,8
1331000,92,931,12
1332000,92,910,11
1333000,93,955,5
1334000,93,942,9
1335000,93,938,10
1336000,93,955,10
1337000,93,935,14
1338000,93,935,9
1339000,93,930,6
1340000,93,941,14
1341000,93,936,10
1342000,93,912,12
1343000,93,951,11
1344000,93,938,11
1345000,93,887,10
1346000,93,918,13
1347000,94,921,15
1348000,94,889,12
1349000,94,921,15
1350000,94,952,13
1351000,94,935,26
1352000,94,970,11
1353000,94,905,12
1354000,94,972,10
1355000,94,1013,12
1356000,94,883,13
1357000,94,973,14
1358000,94,931,9
1359000,94,913,11
1360000,94,906,8
1361000,95,966,13
1362000,95,926,18
